CREATION_DATE,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE
2021-06-08T18:36:59,CALSPHERE 4(A),1965-065H,2021-06-08T10:51:35.211168,13.35843854,0.0067767,90.0132,129.9943,237.1692,242.3823,0,U,1520,999,71772,0.000051871,0.00000035,0,7502.938,107.797,1175.648,1073.958,PAYLOAD,SMALL,US,8/13/1965
2021-06-08T18:36:59,COSMOS 80,1965-070A,2021-06-08T03:53:14.773056,12.5276565,0.0101922,56.058,49.3196,355.3574,163.287,0,U,1570,999,55139,-2.79E-06,-0.00000097,0,7831.085,114.946,1532.766,1373.134,PAYLOAD,MEDIUM,CIS,9/3/1965
2021-06-08T18:36:59,COSMOS 81,1965-070B,2021-06-08T07:45:38.844864,12.48835288,0.0089595,56.0598,102.5312,140.1712,26.4561,0,U,1571,999,54340,-0.000097233,-0.0000011,0,7847.507,115.307,1539.682,1399.063,PAYLOAD,MEDIUM,CIS,9/3/1965
2021-06-08T18:36:59,COSMOS 82,1965-070C,2021-06-08T08:24:49.038912,12.45093356,0.0074721,56.0578,124.0796,330.0384,184.7976,0,U,1572,999,53577,-0.000053701,-0.00000102,0,7863.222,115.654,1543.842,1426.333,PAYLOAD,MEDIUM,CIS,9/3/1965
2021-06-08T18:36:59,COSMOS 83,1965-070D,2021-06-08T08:46:58.384992,12.41016776,0.0068845,56.0512,173.23,159.7682,200.5971,0,U,1573,999,52750,0.00015218,-0.00000072,0,7880.433,116.034,1556.551,1448.045,PAYLOAD,MEDIUM,CIS,9/3/1965
2021-06-08T18:36:59,COSMOS 84,1965-070E,2021-06-08T09:12:16.167744,12.37008472,0.0063278,56.0519,219.5269,340.1252,119.8424,0,U,1574,999,51939,0.00018133,-0.00000068,0,7897.447,116.41,1569.286,1469.339,PAYLOAD,MEDIUM,CIS,9/3/1965
2021-06-08T22:36:11,PORCUPINE 2,1965-065J,2021-06-08T15:56:34.441728,13.3581397,0.0068211,89.9329,215.5481,236.9489,237.7895,0,U,1577,999,71810,0.00010947,0.00000065,0,7503.05,107.799,1176.094,1073.736,PAYLOAD,MEDIUM,US,8/13/1965
2021-06-08T18:36:59,OPS 8068,1965-072A,2021-06-08T12:17:09.413664,14.27617663,0.02357,98.3586,6.5259,65.8381,296.7249,0,U,1580,999,87114,0.00001809,0.00000014,0,7177.842,100.867,968.889,630.525,PAYLOAD,MEDIUM,US,9/10/1965
2021-06-08T18:36:59,COSMOS 86,1965-073A,2021-06-08T12:08:53.221056,12.51878724,0.0211605,56.0605,72.8316,320.0932,212.6947,0,U,1584,999,54769,-0.00013022,-0.00000118,0,7834.784,115.027,1622.436,1290.861,PAYLOAD,MEDIUM,CIS,9/18/1965
2021-06-08T18:36:59,COSMOS 87,1965-073B,2021-06-08T09:23:02.084640,12.47428587,0.0204336,56.0578,174.9008,84.8963,19.7299,0,U,1585,999,53685,0.00013195,-0.00000075,0,7853.406,115.437,1635.744,1314.798,PAYLOAD,MEDIUM,CIS,9/18/1965
2021-06-08T18:36:59,COSMOS 88,1965-073C,2021-06-08T09:13:50.706624,12.43317606,0.0186136,56.0602,235.4396,244.4671,189.0242,0,U,1586,999,53030,0.00022812,-0.00000059,0,7870.708,115.819,1639.075,1346.071,PAYLOAD,MEDIUM,CIS,9/18/1965
